plt_id_cfvvf,latin_name,bornes_abd,min_abd,max_abd,id_pasa
167,CYNOGLOSSUM GERMANICUM JACQ.                                                                                                                                                                                                                              ,[1-4],1,4,138
168,CYNOGLOSSUM OFFICINALE L.                                                                                                                                                                                                                                 ,[1-5],1,5,139
173,ECHIUM ITALICUM L.                                                                                                                                                                                                                                        ,[1-2],1,2,140
179,ECHIUM PLANTAGINEUM L.                                                                                                                                                                                                                                    ,[1-6],1,6,141
179,ECHIUM PLANTAGINEUM L.                                                                                                                                                                                                                                    ,[2-6],2,6,142
180,ECHIUM VULGARE L.                                                                                                                                                                                                                                         ,[1-6],1,6,143
180,ECHIUM VULGARE L.                                                                                                                                                                                                                                         ,[2-6],2,6,144
181,ECHIUM VULGARE L. SUBSP. PUSTULATUM SIBTH. & SM.                                                                                                                                                                                                          ,[1-3],1,3,145
182,ECHIUM VULGARE L. SUBSP. VULGARE                                                                                                                                                                                                                          ,[1-3],1,3,146
185,ERITRICHIUM NANUM (ALL.) SCHRADER                                                                                                                                                                                                                         ,[1-4],1,4,147
188,HELIOTROPIUM EUROPAEUM L.                                                                                                                                                                                                                                 ,[1-4],1,4,148
190,HELIOTROPIUM SUPINUM L.                                                                                                                                                                                                                                   ,[1-5],1,5,149
192,LAPPULA ECHINATA GILIB.                                                                                                                                                                                                                                   ,[1-4],1,4,150
194,LITHOSPERMUM APULUM VAHL                                                                                                                                                                                                                                  ,[1-3],1,3,151
195,LITHOSPERMUM ARVENSE L.                                                                                                                                                                                                                                   ,[1-3],1,3,152
196,LITHOSPERMUM ARVENSE L. VAR. ARVENSE                                                                                                                                                                                                                      ,[1-2],1,2,153
198,LITHOSPERMUM DIFFUSUM LAGASCA                                                                                                                                                                                                                             ,[1-3],1,3,154
199,LITHOSPERMUM FRUTICOSUM L.                                                                                                                                                                                                                                ,[1-4],1,4,155
201,LITHOSPERMUM OFFICINALE L.                                                                                                                                                                                                                                ,[1-4],1,4,156
203,LITHOSPERMUM PURPUREO-CAERULEUM L.                                                                                                                                                                                                                        ,[1-6],1,6,157
203,LITHOSPERMUM PURPUREO-CAERULEUM L.                                                                                                                                                                                                                        ,[2-6],2,6,158
203,LITHOSPERMUM PURPUREO-CAERULEUM L.                                                                                                                                                                                                                        ,[3-6],3,6,159
204,LYCOPSIS ARVENSIS L.                                                                                                                                                                                                                                      ,[1-6],1,6,160
209,MYOSOTIS ARVENSIS (L.) HILL.                                                                                                                                                                                                                              ,[1-4],1,4,161
209,MYOSOTIS ARVENSIS (L.) HILL.                                                                                                                                                                                                                              ,[2-4],2,4,162
210,MYOSOTIS COLLINA HOFFMANN                                                                                                                                                                                                                                 ,[1-4],1,4,163
210,MYOSOTIS COLLINA HOFFMANN                                                                                                                                                                                                                                 ,[2-4],2,4,164
211,MYOSOTIS MICRANTHA PALLAS                                                                                                                                                                                                                                 ,[1-3],1,3,165
212,MYOSOTIS PUSILLA LOISEL.                                                                                                                                                                                                                                  ,[1-3],1,3,166
213,MYOSOTIS RUSCINONENSIS RY                                                                                                                                                                                                                                 ,[1-3],1,3,167
214,MYOSOTIS SCORPIOIDES (L.) HILL.                                                                                                                                                                                                                           ,[1-6],1,6,168
