plt_id_cfvvf,latin_name,bornes_abd,min_abd,max_abd,id_pasa
4793,PRIMULA FARINOSA L.                                                                                                                                                                                                                                       ,[1-6],1,6,3962
4793,PRIMULA FARINOSA L.                                                                                                                                                                                                                                       ,[2-6],2,6,3963
4794,PRIMULA FARINOSA L. VAR. FARINOSA                                                                                                                                                                                                                         ,[1-3],1,3,3964
4796,PRIMULA HIRSUTA ALL.                                                                                                                                                                                                                                      ,[1-4],1,4,3965
4797,PRIMULA INTEGRIFOLIA L.                                                                                                                                                                                                                                   ,[1-6],1,6,3966
4797,PRIMULA INTEGRIFOLIA L.                                                                                                                                                                                                                                   ,[2-6],2,6,3967
4797,PRIMULA INTEGRIFOLIA L.                                                                                                                                                                                                                                   ,[3-6],3,6,3968
4799,PRIMULA MARGINATA CURTIS                                                                                                                                                                                                                                  ,[1-4],1,4,3969
4799,PRIMULA MARGINATA CURTIS                                                                                                                                                                                                                                  ,[2-4],2,4,3970
4800,PRIMULA OFFICINALIS (L.) HILL.                                                                                                                                                                                                                            ,[1-5],1,5,3971
4800,PRIMULA OFFICINALIS (L.) HILL.                                                                                                                                                                                                                            ,[2-5],2,5,3972
4801,PRIMULA OFFICINALIS (L.) HILL. SUBSP. CANESCENS (OPIZ) HAYEK                                                                                                                                                                                              ,[1-3],1,3,3973
4801,PRIMULA OFFICINALIS (L.) HILL. SUBSP. CANESCENS (OPIZ) HAYEK                                                                                                                                                                                              ,[2-3],2,3,3974
4802,PRIMULA OFFICINALIS (L.) HILL. SUBSP. COLUMNAE (TEN.) LUDI                                                                                                                                                                                                ,[1-4],1,4,3975
4802,PRIMULA OFFICINALIS (L.) HILL. SUBSP. COLUMNAE (TEN.) LUDI                                                                                                                                                                                                ,[2-4],2,4,3976
4803,PRIMULA OFFICINALIS (L.) HILL. SUBSP. OFFICINALIS                                                                                                                                                                                                         ,[1-3],1,3,3977
4804,PRIMULA PEDEMONTANA THOMAS                                                                                                                                                                                                                                ,[1-3],1,3,3978
4805,PRIMULA VISCOSA ALL., NON VILL., NI COSTE                                                                                                                                                                                                                 ,[1-5],1,5,3979
4805,PRIMULA VISCOSA ALL., NON VILL., NI COSTE                                                                                                                                                                                                                 ,[2-5],2,5,3980
4806,PRIMULA VISCOSA ALL., NON VILL., NI COSTE VAR. LATIFOLIA LAPEYR.                                                                                                                                                                                          ,[1-4],1,4,3981
4808,SAMOLUS VALERANDI L.                                                                                                                                                                                                                                      ,[1-5],1,5,3982
4808,SAMOLUS VALERANDI L.                                                                                                                                                                                                                                      ,[2-5],2,5,3983
4808,SAMOLUS VALERANDI L.                                                                                                                                                                                                                                      ,[3-5],3,5,3984
4809,SOLDANELLA ALPINA L.                                                                                                                                                                                                                                      ,[1-5],1,5,3985
4809,SOLDANELLA ALPINA L.                                                                                                                                                                                                                                      ,[2-5],2,5,3986
4813,SOLDANELLA PUSILLA BAUMG.                                                                                                                                                                                                                                 ,[1-4],1,4,3987
4814,TRIENTALIS EUROPAEA L.                                                                                                                                                                                                                                    ,[1-4],1,4,3988
4816,PUNICA GRANATUM L.                                                                                                                                                                                                                                        ,[1-1],1,1,3989
4820,PIROLA CHLORANTHA SWEET                                                                                                                                                                                                                                   ,[1-3],1,3,3990
4820,PIROLA CHLORANTHA SWEET                                                                                                                                                                                                                                   ,[2-3],2,3,3991
4821,PIROLA MEDIA SWEET                                                                                                                                                                                                                                        ,[1-2],1,2,3992
4822,PIROLA MINOR L.                                                                                                                                                                                                                                           ,[1-5],1,5,3993
4822,PIROLA MINOR L.                                                                                                                                                                                                                                           ,[2-5],2,5,3994
4823,PIROLA ROTUNDIFOLIA L.                                                                                                                                                                                                                                    ,[1-3],1,3,3995
4824,PIROLA ROTUNDIFOLIA L. VAR. ARENARIA KOCH                                                                                                                                                                                                                 ,[1-6],1,6,3996
4826,PIROLA ROTUNDIFOLIA L. VAR. ROTUNDIFOLIA                                                                                                                                                                                                                  ,[1-3],1,3,3997
4827,PIROLA SECUNDA L.                                                                                                                                                                                                                                         ,[1-4],1,4,3998
4827,PIROLA SECUNDA L.                                                                                                                                                                                                                                         ,[2-4],2,4,3999
4828,PIROLA UNIFLORA L.                                                                                                                                                                                                                                        ,[1-4],1,4,4000
4830,CYTINUS HYPOCISTIS L.                                                                                                                                                                                                                                     ,[1-5],1,5,4001
4833,ACONITUM ANTHORA L.                                                                                                                                                                                                                                       ,[1-4],1,4,4002
4837,ACONITUM NAPELLUS (L.) RCHB.                                                                                                                                                                                                                              ,[1-6],1,6,4003
4837,ACONITUM NAPELLUS (L.) RCHB.                                                                                                                                                                                                                              ,[2-6],2,6,4004
4837,ACONITUM NAPELLUS (L.) RCHB.                                                                                                                                                                                                                              ,[3-6],3,6,4005
4839,ACONITUM NAPELLUS (L.) RCHB. VAR. COMPACTUM RCHB.                                                                                                                                                                                                         ,[1-3],1,3,4006
4842,ACONITUM PANICULATUM LAM.                                                                                                                                                                                                                                 ,[1-4],1,4,4007
4842,ACONITUM PANICULATUM LAM.                                                                                                                                                                                                                                 ,[2-4],2,4,4008
4845,ACONITUM PYRAMIDALE (MILL.) RCHB.                                                                                                                                                                                                                         ,[1-4],1,4,4009
4845,ACONITUM PYRAMIDALE (MILL.) RCHB.                                                                                                                                                                                                                         ,[2-4],2,4,4010
4848,ACONITUM PYRAMIDALE (MILL.) RCHB. VAR. CORSICUM GAYER                                                                                                                                                                                                     ,[1-3],1,3,4011
4851,ACONITUM RANUNCULIFOLIUM (RCHB.) P. F.                                                                                                                                                                                                                    ,[1-4],1,4,4012
4853,ACONITUM RANUNCULIFOLIUM (RCHB.) P. F. VAR. PYRENAICUM LAM., NON RY                                                                                                                                                                                       ,[1-5],1,5,4013
4856,ACONITUM VARIEGATUM L.                                                                                                                                                                                                                                    ,[1-5],1,5,4014
4859,ACONITUM VULPARIA RCHB.                                                                                                                                                                                                                                   ,[1-5],1,5,4015
4859,ACONITUM VULPARIA RCHB.                                                                                                                                                                                                                                   ,[2-5],2,5,4016
4859,ACONITUM VULPARIA RCHB.                                                                                                                                                                                                                                   ,[3-5],3,5,4017
4866,ACTAEA SPICATA L.                                                                                                                                                                                                                                         ,[1-5],1,5,4018
4866,ACTAEA SPICATA L.                                                                                                                                                                                                                                         ,[2-5],2,5,4019
4867,ADONIS AESTIVALIS L.                                                                                                                                                                                                                                      ,[1-3],1,3,4020
4868,ADONIS AUTUMNALIS L.                                                                                                                                                                                                                                      ,[1-3],1,3,4021
4869,ADONIS FLAMMEUS JACQ.                                                                                                                                                                                                                                     ,[1-3],1,3,4022
4872,ADONIS PYRENAICUS DC.                                                                                                                                                                                                                                     ,[1-4],1,4,4023
4875,ADONIS VERNALIS L.                                                                                                                                                                                                                                        ,[1-4],1,4,4024
4876,ANEMONE APENNINA L.                                                                                                                                                                                                                                       ,[1-2],1,2,4025
4877,ANEMONE BALDENSIS L.                                                                                                                                                                                                                                      ,[1-3],1,3,4026
4878,ANEMONE CORONARIA L.                                                                                                                                                                                                                                      ,[1-4],1,4,4027
4889,ANEMONE HORTENSIS L.                                                                                                                                                                                                                                      ,[1-3],1,3,4028
4895,ANEMONE HORTENSIS L. VAR. STELLATA LAM.                                                                                                                                                                                                                   ,[1-3],1,3,4029
4897,ANEMONE NARCISSIFLORA L.                                                                                                                                                                                                                                  ,[1-5],1,5,4030
4897,ANEMONE NARCISSIFLORA L.                                                                                                                                                                                                                                  ,[2-5],2,5,4031
4900,ANEMONE NEMOROSA L.                                                                                                                                                                                                                                       ,[1-6],1,6,4032
4900,ANEMONE NEMOROSA L.                                                                                                                                                                                                                                       ,[3-6],3,6,4033
4900,ANEMONE NEMOROSA L.                                                                                                                                                                                                                                       ,[4-6],4,6,4034
4901,ANEMONE PALMATA L.                                                                                                                                                                                                                                        ,[2-5],2,5,4035
4902,ANEMONE RANUNCULOIDES L.                                                                                                                                                                                                                                  ,[1-5],1,5,4036
4902,ANEMONE RANUNCULOIDES L.                                                                                                                                                                                                                                  ,[2-5],2,5,4037
4903,ANEMONE SILVESTRIS L.                                                                                                                                                                                                                                     ,[1-6],1,6,4038
4904,ANEMONE TRIFOLIA L.                                                                                                                                                                                                                                       ,[1-3],1,3,4039
4905,ANEMONE TRIFOLIA L. SUBSP. ALBIDA (MARIZ) P. F.                                                                                                                                                                                                           ,[1-3],1,3,4040
4907,AQUILEGIA ALPINA L.                                                                                                                                                                                                                                       ,[1-5],1,5,4041
4908,AQUILEGIA ATROVIOLACEA (AVE-LALL.) BECK.                                                                                                                                                                                                                  ,[1-3],1,3,4042
4909,AQUILEGIA BERNARDI G. G.                                                                                                                                                                                                                                  ,[1-2],1,2,4043
4912,AQUILEGIA HIRSUTISSIMA (LAPEYR.) TIMB.                                                                                                                                                                                                                    ,[1-2],1,2,4044
4913,AQUILEGIA PYRENAICA DC.                                                                                                                                                                                                                                   ,[1-4],1,4,4045
4914,AQUILEGIA REUTERI BOISS.                                                                                                                                                                                                                                  ,[1-3],1,3,4046
4917,AQUILEGIA VULGARIS L.                                                                                                                                                                                                                                     ,[1-4],1,4,4047
4917,AQUILEGIA VULGARIS L.                                                                                                                                                                                                                                     ,[2-4],2,4,4048
4926,AQUILEGIA VULGARIS L. VAR. VULGARIS                                                                                                                                                                                                                       ,[1-3],1,3,4049
4927,CALLIANTHEMUM CORIANDRIFOLIUM RCHB.                                                                                                                                                                                                                       ,[1-3],1,3,4050
4934,CALTHA PALUSTRIS L.                                                                                                                                                                                                                                       ,[1-6],1,6,4051
4934,CALTHA PALUSTRIS L.                                                                                                                                                                                                                                       ,[2-6],2,6,4052
4934,CALTHA PALUSTRIS L.                                                                                                                                                                                                                                       ,[3-6],3,6,4053
4935,CALTHA PALUSTRIS L. SUBSP. MINOR MILL.                                                                                                                                                                                                                    ,[1-5],1,5,4054
4935,CALTHA PALUSTRIS L. SUBSP. MINOR MILL.                                                                                                                                                                                                                    ,[2-5],2,5,4055
4938,CALTHA PALUSTRIS L. SUBSP. PALUSTRIS                                                                                                                                                                                                                      ,[1-4],1,4,4056
4941,CERATOCEPHALUS FALCATUS (L.) PERS.                                                                                                                                                                                                                        ,[1-3],1,3,4057
4942,CLEMATIS ALPINA (L.) MILL.                                                                                                                                                                                                                                ,[1-4],1,4,4058
4943,CLEMATIS CIRROSA L.                                                                                                                                                                                                                                       ,[1-3],1,3,4059
4944,CLEMATIS FLAMMULA L.                                                                                                                                                                                                                                      ,[1-5],1,5,4060
4944,CLEMATIS FLAMMULA L.                                                                                                                                                                                                                                      ,[2-5],2,5,4061
4945,CLEMATIS RECTA L.                                                                                                                                                                                                                                         ,[1-3],1,3,4062
4946,CLEMATIS VITALBA L.                                                                                                                                                                                                                                       ,[1-6],1,6,4063
4946,CLEMATIS VITALBA L.                                                                                                                                                                                                                                       ,[2-6],2,6,4064
4946,CLEMATIS VITALBA L.                                                                                                                                                                                                                                       ,[3-6],3,6,4065
4949,DELPHINIUM CONSOLIDA L.                                                                                                                                                                                                                                   ,[1-5],1,5,4066
4950,DELPHINIUM ELATUM L.                                                                                                                                                                                                                                      ,[1-3],1,3,4067
4953,DELPHINIUM ELATUM L. VAR. DUBIUM RY & F.                                                                                                                                                                                                                  ,[1-5],1,5,4068
4955,DELPHINIUM ELATUM L. SUBSP. MONTANUM DC.                                                                                                                                                                                                                  ,[1-2],1,2,4069
4966,DELPHINIUM PUBESCENS DC.                                                                                                                                                                                                                                  ,[1-2],1,2,4070
4969,DELPHINIUM REQUIENI DC.                                                                                                                                                                                                                                   ,[1-5],1,5,4071
4973,FICARIA VERNA HUDS.                                                                                                                                                                                                                                       ,[1-6],1,6,4072
4973,FICARIA VERNA HUDS.                                                                                                                                                                                                                                       ,[3-6],3,6,4073
4973,FICARIA VERNA HUDS.                                                                                                                                                                                                                                       ,[4-6],4,6,4074
4974,FICARIA VERNA HUDS. VAR. GRANDIFLORA ROB.                                                                                                                                                                                                                 ,[1-4],1,4,4075
4977,HELLEBORUS FOETIDUS L.                                                                                                                                                                                                                                    ,[1-4],1,4,4076
4977,HELLEBORUS FOETIDUS L.                                                                                                                                                                                                                                    ,[2-4],2,4,4077
4978,HELLEBORUS LIVIDUS SOLAND.                                                                                                                                                                                                                                ,[1-2],1,2,4078
4979,HELLEBORUS LIVIDUS SOLAND. SUBSP. CORSICUS WILLD.                                                                                                                                                                                                         ,[1-3],1,3,4079
4984,HELLEBORUS VIRIDIS L.                                                                                                                                                                                                                                     ,[1-4],1,4,4080
4984,HELLEBORUS VIRIDIS L.                                                                                                                                                                                                                                     ,[2-4],2,4,4081
4985,HELLEBORUS VIRIDIS L. VAR. OCCIDENTALIS REUT.                                                                                                                                                                                                             ,[1-5],1,5,4082
4985,HELLEBORUS VIRIDIS L. VAR. OCCIDENTALIS REUT.                                                                                                                                                                                                             ,[2-5],2,5,4083
4987,HEPATICA TRILOBA CHAIX                                                                                                                                                                                                                                    ,[1-6],1,6,4084
4987,HEPATICA TRILOBA CHAIX                                                                                                                                                                                                                                    ,[2-6],2,6,4085
4987,HEPATICA TRILOBA CHAIX                                                                                                                                                                                                                                    ,[3-6],3,6,4086
4988,HEPATICA TRILOBA CHAIX VAR. PICTA BECK                                                                                                                                                                                                                    ,[1-3],1,3,4087
4990,ISOPYRUM THALICTROIDES L.                                                                                                                                                                                                                                 ,[1-5],1,5,4088
4990,ISOPYRUM THALICTROIDES L.                                                                                                                                                                                                                                 ,[2-5],2,5,4089
4990,ISOPYRUM THALICTROIDES L.                                                                                                                                                                                                                                 ,[3-5],3,5,4090
4991,MYOSURUS MINIMUS L.                                                                                                                                                                                                                                       ,[1-5],1,5,4091
4992,NIGELLA ARVENSIS L.                                                                                                                                                                                                                                       ,[1-3],1,3,4092
4993,NIGELLA DAMASCENA L.                                                                                                                                                                                                                                      ,[1-3],1,3,4093
4994,NIGELLA GALLICA JORD.                                                                                                                                                                                                                                     ,[1-3],1,3,4094
4997,PULSATILLA ALPINA L.                                                                                                                                                                                                                                      ,[1-5],1,5,4095
4997,PULSATILLA ALPINA L.                                                                                                                                                                                                                                      ,[2-5],2,5,4096
4997,PULSATILLA ALPINA L.                                                                                                                                                                                                                                      ,[3-5],3,5,4097
4998,PULSATILLA ALPINA L. SUBSP. ALPINA                                                                                                                                                                                                                        ,[1-4],1,4,4098
4999,PULSATILLA ALPINA L. VAR. ALBA RCHB.                                                                                                                                                                                                                      ,[1-6],1,6,4099
4999,PULSATILLA ALPINA L. VAR. ALBA RCHB.                                                                                                                                                                                                                      ,[2-6],2,6,4100
5000,PULSATILLA ALPINA L. VAR. ALPINA                                                                                                                                                                                                                          ,[1-3],1,3,4101
5002,PULSATILLA ALPINA L. VAR. SUBALPINA SONGEON                                                                                                                                                                                                               ,[1-3],1,3,4102
5003,PULSATILLA ALPINA L. SUBSP. SULPHUREA L.                                                                                                                                                                                                                  ,[1-6],1,6,4103
5003,PULSATILLA ALPINA L. SUBSP. SULPHUREA L.                                                                                                                                                                                                                  ,[2-6],2,6,4104
5004,PULSATILLA HALLERI ALL.                                                                                                                                                                                                                                   ,[1-3],1,3,4105
5004,PULSATILLA HALLERI ALL.                                                                                                                                                                                                                                   ,[2-3],2,3,4106
5005,PULSATILLA MONTANA (HOPPE) RCHB.                                                                                                                                                                                                                          ,[1-4],1,4,4107
5009,PULSATILLA VERNALIS L.                                                                                                                                                                                                                                    ,[1-3],1,3,4108
5009,PULSATILLA VERNALIS L.                                                                                                                                                                                                                                    ,[2-3],2,3,4109
5010,PULSATILLA VULGARIS MILL.                                                                                                                                                                                                                                 ,[1-6],1,6,4110
5010,PULSATILLA VULGARIS MILL.                                                                                                                                                                                                                                 ,[2-6],2,6,4111
5010,PULSATILLA VULGARIS MILL.                                                                                                                                                                                                                                 ,[3-6],3,6,4112
5014,PULSATILLA VULGARIS MILL. VAR. RUBRA (LAM.) DELARBRE                                                                                                                                                                                                      ,[1-4],1,4,4113
5014,PULSATILLA VULGARIS MILL. VAR. RUBRA (LAM.) DELARBRE                                                                                                                                                                                                      ,[2-4],2,4,4114
5015,PULSATILLA VULGARIS MILL. VAR. VULGARIS                                                                                                                                                                                                                   ,[1-4],1,4,4115
5016,RANUNCULUS ACER L.                                                                                                                                                                                                                                        ,[1-6],1,6,4116
5016,RANUNCULUS ACER L.                                                                                                                                                                                                                                        ,[2-6],2,6,4117
5016,RANUNCULUS ACER L.                                                                                                                                                                                                                                        ,[3-6],3,6,4118
5017,RANUNCULUS ACER L. SUBSP. ACER                                                                                                                                                                                                                            ,[1-4],1,4,4119
5018,RANUNCULUS ACER L. SUBSP. STEVENI ANDRZ.                                                                                                                                                                                                                  ,[1-6],1,6,4120
5018,RANUNCULUS ACER L. SUBSP. STEVENI ANDRZ.                                                                                                                                                                                                                  ,[2-6],2,6,4121
5019,RANUNCULUS ACER L. VAR. FRIESEANUS JORD.                                                                                                                                                                                                                  ,[1-5],1,5,4122
5019,RANUNCULUS ACER L. VAR. FRIESEANUS JORD.                                                                                                                                                                                                                  ,[2-5],2,5,4123
5019,RANUNCULUS ACER L. VAR. FRIESEANUS JORD.                                                                                                                                                                                                                  ,[3-5],3,5,4124
5021,RANUNCULUS ACONITIFOLIUS L.                                                                                                                                                                                                                               ,[1-6],1,6,4125
5021,RANUNCULUS ACONITIFOLIUS L.                                                                                                                                                                                                                               ,[2-6],2,6,4126
5021,RANUNCULUS ACONITIFOLIUS L.                                                                                                                                                                                                                               ,[3-6],3,6,4127
5023,RANUNCULUS ACONITIFOLIUS L. SUBSP. PLATANIFOLIUS L.                                                                                                                                                                                                       ,[1-6],1,6,4128
